key_resp.corr,key_resp.rt,,,Sequence RT,Random RT
1,0.9256347,,,0.9256347,0.2774208
1,0.9604403,,,0.9604403,0.6425923
1,0.4091284,,,0.4091284,0.7759178
1,0.3558494,,,0.3558494,0.782556
1,0.3940521,,,0.3940521,0.6992718
1,0.6506257,,,0.6506257,0.7533709
1,0.8627565,,,0.8627565,1.0882874
1,0.6266067,,,0.6266067,0.6400509
1,0.3354221,,,0.3354221,0.9137487
1,0.7465116,,,0.7465116,0.732926
1,0.3483198,,,0.3483198,0.6294982
1,0.9491862,,,0.9491862,0.7235443
1,0.3641421,,,0.3641421,0.775114
1,0.7367447,,,0.7367447,1.0542032
1,0.5790508,,,0.5790508,0.7462223
1,0.6936306,,,0.6936306,0.6028974
1,0.3707373,,,0.3707373,0.8162061
1,0.6822667,,,0.6822667,0.5785096
1,0.3431527,,,0.3431527,0.6498033
1,0.6887607,,,0.6887607,0.7001822
1,0.4253139,,,0.4253139,0.6536217
1,0.4803986,,,0.4803986,0.6610142
1,0.3881893,,,0.3881893,0.6255827
1,0.3890189,,,0.3890189,0.7501832
1,0.3331039,,,0.3331039,0.7691755
1,0.7784075,,,0.7784075,0.6971246
1,0.4100981,,,0.4100981,0.8192506
1,0.6383148,,,0.6383148,0.700477
1,0.9467182,,,0.9467182,0.9183665
1,0.7321952,,,0.7321952,0.4442018
1,0.7182969,,,0.7182969,0.4596128
1,0.5018349,,,0.5018349,0.4566071
1,0.3279026,,,0.3279026,0.5040732
1,0.9705991,,,0.9705991,0.8448936
1,0.5339907,,,0.5339907,0.7687893
1,0.542941,,,0.542941,0.7507227
1,0.3306448,,,0.3306448,0.9374658
1,0.5299855,,,0.5299855,0.5942737
1,0.3426535,,,0.3426535,0.6696803
1,0.3192512,,,0.3192512,0.6792815
1,0.3278325,,,0.3278325,0.7497353
1,0.8896127,,,0.8896127,0.973081
1,0.304051,,,0.304051,0.752684
1,0.3172587,,,0.3172587,1.3111693
1,0.282834,,,0.282834,1.2782246
1,0.3920873,,,0.3920873,0.9731777
1,0.2814243,,,0.2814243,0.7205732
1,0.5603863,,,0.5603863,0.8470328
1,0.293715,,,0.293715,0.6963556
1,0.4417678,,,0.4417678,0.799209
1,0.2873546,,,0.2873546,0.624425
1,0.4050381,,,0.4050381,0.6379486
1,0.2824497,,,0.2824497,0.7264755
1,0.6647834,,,0.6647834,0.62057
1,0.3162929,,,0.3162929,0.9018847
1,0.5609751,,,0.5609751,0.8192807
1,0.3120826,,,0.3120826,0.7257528
1,0.5063677,,,0.5063677,1.0865553
1,0.3353467,,,0.3353467,0.8272745
1,0.3111044,,,0.3111044,0.7278675
1,0.2997961,,,0.2997961,0.6465328
1,0.3907089,,,0.3907089,1.3332221
1,0.2912663,,,0.2912663,1.0475913
1,0.3462847,,,0.3462847,0.7626082
1,0.9657192,,,0.9657192,1.3439497
1,1.1065427,,,1.1065427,0.8489457
1,1.0208693,,,1.0208693,0.8717333
1,0.4781417,,,0.4781417,0.7931183
1,0.8583424,,,0.8583424,1.240043
1,1.0520586,,,1.0520586,1.7356663
1,0.3245278,,,0.3245278,0.9952429
1,0.4233082,,,0.4233082,0.7496328
1,0.3263401,,,0.3263401,0.7501035
1,0.3744192,,,0.3744192,1.7179707
1,0.3128715,,,0.3128715,0.8846585
1,0.2953182,,,0.2953182,0.8433633
1,0.3281208,,,0.3281208,10.0715095
1,0.6234355,,,0.6234355,1.0286232
1,0.2947788,,,0.2947788,1.1899661
1,0.4168849,,,0.4168849,0.7059246
1,0.293631,,,0.293631,0.5204579
1,0.4088916,,,0.4088916,0.7658615
1,0.2958956,,,0.2958956,0.7742479
1,0.3698904,,,0.3698904,0.6348247
1,0.2961309,,,0.2961309,0.7140051
1,0.3966027,,,0.3966027,0.5450742
1,0.2793157,,,0.2793157,0.7432699
1,0.3318225,,,0.3318225,0.629609
1,0.3073518,,,0.3073518,0.7427424
1,0.3759072,,,0.3759072,0.6027588
1,0.2911181,,,0.2911181,0.5860624
1,0.5804546,,,0.5804546,0.6794722
1,0.3641138,,,0.3641138,0.5985705
1,0.3361164,,,0.3361164,0.6272762
0,0.4735,,,0.5032573,0.6830972
0,0.401982,,,0.4967694,0.6117247
1,0.5032573,,,0.6024617,0.7342661
1,0.4967694,,,0.4101847,0.5686531
1,0.6024617,,,0.3573547,0.7730672
1,0.4101847,,,0.3604996,0.8036873
1,0.3573547,,,0.4010742,0.4015072
1,0.3604996,,,0.3828884,0.690685
0,0.4164352,,,0.4020533,0.6220541
1,0.4010742,,,0.9100799,0.5332041
1,0.3828884,,,0.3799483,0.7551097
1,0.4020533,,,0.3091977,0.5649498
1,0.9100799,,,0.4095431,1.0828968
1,0.3799483,,,0.3683499,0.7941475
1,0.3091977,,,0.3205106,0.856417
1,0.4095431,,,0.3207279,0.6911521
1,0.3683499,,,0.4167272,0.6496111
1,0.3205106,,,0.3973108,0.7744782
1,0.3207279,,,0.4357318,0.8687307
1,0.4167272,,,0.5553381,0.5468703
1,0.3973108,,,0.4145813,0.8060049
1,0.4357318,,,0.3539554,0.5933949
1,0.5553381,,,0.363539,0.7100969
1,0.4145813,,,0.322274,1.0198847
1,0.3539554,,,0.4547064,0.695513
1,0.363539,,,0.3463659,0.6404054
1,0.322274,,,0.4138084,0.6859928
1,0.4547064,,,0.2835994,0.6576939
1,0.3463659,,,0.3867119,0.6024923
1,0.4138084,,,0.3041324,0.6262879
1,0.2835994,,,0.4448743,0.6293384
1,0.3867119,,,0.3007568,0.5582475
1,0.3041324,,,0.3292935,0.7684222
1,0.4448743,,,0.374739,0.3054071
1,0.3007568,,,0.3092857,0.9905941
1,0.3292935,,,0.2292753,1.1727723
1,0.374739,,,0.3482285,1.1068823
1,0.3092857,,,0.26032,0.6117326
1,0.2292753,,,0.2945848,0.8907251
1,0.3482285,,,0.2982379,1.0797546
1,0.26032,,,0.3450254,0.776945
1,0.2945848,,,0.2651634,0.7312026
1,0.2982379,,,0.2749374,0.9909574
1,0.3450254,,,0.2708993,0.7119964
1,0.2651634,,,0.4487636,1.0756117
1,0.2749374,,,0.2874317,0.7868218
1,0.2708993,,,0.3423599,0.8522962
1,0.4487636,,,0.3124268,0.8233367
1,0.2874317,,,0.3746157,0.7937152
1,0.3423599,,,0.2942786,0.6392677
1,0.3124268,,,0.3670378,0.8298361
1,0.3746157,,,0.2904744,0.4750583
1,0.2942786,,,0.4110174,0.6424315
1,0.3670378,,,0.5114148,0.5540299
1,0.2904744,,,0.6160893,0.4505608
1,0.4110174,,,0.3529266,0.6617952
1,0.5114148,,,0.3115537,0.6274584
1,0.6160893,,,0.3726184,0.6454452
1,0.3529266,,,0.4387827,0.6328718
1,0.3115537,,,0.3228,0.400074
1,0.3726184,,,0.7871059,0.5945762
1,0.4387827,,,0.5771063,0.4660622
1,0.3228,,,0.3070251,0.6026174
1,0.7871059,,,0.4209666,1.1804264
1,0.5771063,,,0.4895511,0.8544576
1,0.3070251,,,0.3292563,0.8904405
1,0.4209666,,,0.3563863,0.6070879
1,0.4895511,,,0.32525,0.9782939
1,0.3292563,,,0.4854207,0.5558887
1,0.3563863,,,0.3599109,0.6425313
1,0.32525,,,0.4793753,0.2930985
1,0.4854207,,,0.4054056,0.7128077
1,0.3599109,,,0.417387,0.6655761
1,0.4793753,,,0.3224064,0.5411371
1,0.4054056,,,0.3258364,0.7768892
1,0.417387,,,0.4471474,0.9618163
1,0.3224064,,,0.514318,1.0619333
1,0.3258364,,,0.8358429,1.3155388
1,0.4471474,,,0.4004943,1.1626711
1,0.514318,,,0.3522205,0.7084401
1,0.8358429,,,0.4602789,0.7031056
1,0.4004943,,,0.5529739,2.7729155
1,0.3522205,,,0.6614941,1.125873
1,0.4602789,,,0.5402311,0.3028392
1,0.5529739,,,0.477539,1.0076691
1,0.6614941,,,0.4704117,0.6403247
1,0.5402311,,,0.5206802,0.624428
1,0.477539,,,0.398191,0.600589
1,0.4704117,,,0.3825892,1.0411702
1,0.5206802,,,0.4668549,0.6336467
1,0.398191,,,0.3956511,0.6268506
1,0.3825892,,,0.350066,0.5381789
1,0.4668549,,,0.6726316,0.5735185
1,0.3956511,,,0.3533659,0.5296363
1,0.350066,,,1.0977936,0.5610073
1,0.6726316,,,0.591083,0.560155
1,0.3533659,,,0.7075665,0.710346
1,1.0977936,,,0.5882966,0.6339529
1,0.591083,,,0.6345623,0.7027541
1,0.7075665,,,0.3280864,0.550423
1,0.5882966,,,0.773072,0.8861855
1,0.6345623,,,0.4127314,0.8308444
1,0.3280864,,,0.8203539,0.8781618
1,0.773072,,,,
1,0.4127314,,,,
1,0.8203539,,,,
1,0.2774208,,,,
1,0.6425923,,,,
1,0.7759178,,,,
1,0.782556,,,,
1,0.6992718,,,,
1,0.7533709,,,,
1,1.0882874,,,,
1,0.6400509,,,,
1,0.9137487,,,,
1,0.732926,,,,
1,0.6294982,,,,
1,0.7235443,,,,
1,0.775114,,,,
1,1.0542032,,,,
1,0.7462223,,,,
1,0.6028974,,,,
1,0.8162061,,,,
1,0.5785096,,,,
1,0.6498033,,,,
1,0.7001822,,,,
1,0.6536217,,,,
1,0.6610142,,,,
1,0.6255827,,,,
1,0.7501832,,,,
1,0.7691755,,,,
1,0.6971246,,,,
1,0.8192506,,,,
1,0.700477,,,,
1,0.9183665,,,,
1,0.4442018,,,,
1,0.4596128,,,,
1,0.4566071,,,,
1,0.5040732,,,,
1,0.8448936,,,,
1,0.7687893,,,,
1,0.7507227,,,,
1,0.9374658,,,,
1,0.5942737,,,,
1,0.6696803,,,,
1,0.6792815,,,,
1,0.7497353,,,,
1,0.973081,,,,
1,0.752684,,,,
1,1.3111693,,,,
1,1.2782246,,,,
1,0.9731777,,,,
1,0.7205732,,,,
1,0.8470328,,,,
1,0.6963556,,,,
1,0.799209,,,,
1,0.624425,,,,
1,0.6379486,,,,
1,0.7264755,,,,
1,0.62057,,,,
1,0.9018847,,,,
1,0.8192807,,,,
1,0.7257528,,,,
1,1.0865553,,,,
1,0.8272745,,,,
1,0.7278675,,,,
1,0.6465328,,,,
1,1.3332221,,,,
1,1.0475913,,,,
1,0.7626082,,,,
1,1.3439497,,,,
1,0.8489457,,,,
1,0.8717333,,,,
1,0.7931183,,,,
1,1.240043,,,,
1,1.7356663,,,,
1,0.9952429,,,,
1,0.7496328,,,,
1,0.7501035,,,,
1,1.7179707,,,,
1,0.8846585,,,,
1,0.8433633,,,,
1,10.0715095,,,,
1,1.0286232,,,,
1,1.1899661,,,,
1,0.7059246,,,,
1,0.5204579,,,,
1,0.7658615,,,,
1,0.7742479,,,,
1,0.6348247,,,,
1,0.7140051,,,,
1,0.5450742,,,,
1,0.7432699,,,,
1,0.629609,,,,
1,0.7427424,,,,
1,0.6027588,,,,
1,0.5860624,,,,
1,0.6794722,,,,
1,0.5985705,,,,
1,0.6272762,,,,
1,0.6830972,,,,
1,0.6117247,,,,
1,0.7342661,,,,
1,0.5686531,,,,
1,0.7730672,,,,
1,0.8036873,,,,
1,0.4015072,,,,
1,0.690685,,,,
1,0.6220541,,,,
1,0.5332041,,,,
1,0.7551097,,,,
1,0.5649498,,,,
1,1.0828968,,,,
1,0.7941475,,,,
1,0.856417,,,,
1,0.6911521,,,,
1,0.6496111,,,,
1,0.7744782,,,,
1,0.8687307,,,,
1,0.5468703,,,,
1,0.8060049,,,,
1,0.5933949,,,,
1,0.7100969,,,,
1,1.0198847,,,,
1,0.695513,,,,
1,0.6404054,,,,
1,0.6859928,,,,
1,0.6576939,,,,
1,0.6024923,,,,
1,0.6262879,,,,
1,0.6293384,,,,
1,0.5582475,,,,
1,0.7684222,,,,
1,0.3054071,,,,
1,0.9905941,,,,
1,1.1727723,,,,
1,1.1068823,,,,
1,0.6117326,,,,
1,0.8907251,,,,
1,1.0797546,,,,
1,0.776945,,,,
1,0.7312026,,,,
1,0.9909574,,,,
1,0.7119964,,,,
1,1.0756117,,,,
1,0.7868218,,,,
1,0.8522962,,,,
1,0.8233367,,,,
1,0.7937152,,,,
1,0.6392677,,,,
1,0.8298361,,,,
1,0.4750583,,,,
1,0.6424315,,,,
,,,,,
1,0.5540299,,,,
1,0.4505608,,,,
1,0.6617952,,,,
1,0.6274584,,,,
1,0.6454452,,,,
1,0.6328718,,,,
1,0.400074,,,,
1,0.5945762,,,,
1,0.4660622,,,,
1,0.6026174,,,,
1,1.1804264,,,,
1,0.8544576,,,,
1,0.8904405,,,,
1,0.6070879,,,,
1,0.9782939,,,,
1,0.5558887,,,,
1,0.6425313,,,,
1,0.2930985,,,,
1,0.7128077,,,,
1,0.6655761,,,,
1,0.5411371,,,,
1,0.7768892,,,,
1,0.9618163,,,,
1,1.0619333,,,,
1,1.3155388,,,,
1,1.1626711,,,,
1,0.7084401,,,,
1,0.7031056,,,,
1,2.7729155,,,,
1,1.125873,,,,
1,0.3028392,,,,
,,,,,
1,1.0076691,,,,
1,0.6403247,,,,
1,0.624428,,,,
1,0.600589,,,,
1,1.0411702,,,,
1,0.6336467,,,,
1,0.6268506,,,,
1,0.5381789,,,,
1,0.5735185,,,,
1,0.5296363,,,,
1,0.5610073,,,,
1,0.560155,,,,
1,0.710346,,,,
1,0.6339529,,,,
1,0.7027541,,,,
1,0.550423,,,,
1,0.8861855,,,,
1,0.8308444,,,,
,,,,,
1,0.8781618,,,,
