trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,,,session,date,expName,psychopyVersion,frameRate,expStart
133,0,133,0,319.3903449,,319.3683711,5,319.3903449,319.3903449,0.0152516,321.1319202,[0.2518518518518518],[-0.053703703703703705],[1],[0],[0],,1.7485329,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
134,0,134,0,321.1641044,,321.1354859,5,321.1641044,321.1641044,0.021966,324.6161281,[-0.14629629629629629],[-0.3351851851851852],[1],[0],[0],,3.4594312,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
135,0,135,0,324.641369,,324.6189158,5,324.641369,324.641369,0.0156741,327.7494458,[0.4083333333333333],[0.41574074074074074],[1],[0],[0],,3.1149563,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
136,0,136,0,327.7985843,,327.7537144,10,327.7985843,327.7985843,0.033584,330.0157462,[-0.022222222222222223],[-0.23425925925925925],[1],[0],[0],,2.2292471,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
137,0,137,0,330.0407382,,330.0184397,5,330.0407382,330.0407382,0.0158352,332.4324201,[-0.4083333333333333],[-0.19722222222222222],[1],[0],[0],,2.3983257,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
138,0,138,0,332.4567624,,332.4352132,5,332.4567624,332.4567624,0.0145976,335.2657706,[0.2657407407407407],[0.2388888888888889],[1],[0],[0],,2.8161031,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
139,0,139,0,335.2956898,,335.2690703,5,335.2956898,335.2956898,0.0162073,337.6159129,[0.2972222222222222],[-0.21666666666666667],[1],[0],[0],,2.3307629,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
140,0,140,0,337.6631615,,337.618856,10,337.6631615,337.6631615,0.031207,339.9992465,[0.4824074074074074],[0.05648148148148148],[1],[0],[0],,2.349217,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
141,0,141,0,340.0505425,,340.0022758,10,340.0505425,340.0505425,0.0349207,344.6490083,[-0.47962962962962963],[-0.38796296296296295],[1],[0],[0],,4.6120382,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
142,0,142,0,344.6938653,,344.6518409,10,344.6938653,344.6938653,0.0315937,347.349191,[0.3962962962962963],[-0.3111111111111111],[1],[0],[0],,2.6660153,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
143,0,143,0,347.3779088,,347.3539595,5,347.3779088,347.3779088,0.0182172,349.2826873,[-0.041666666666666664],[-0.10740740740740741],[1],[0],[0],,1.911245,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
144,0,144,0,349.307683,,349.2857521,5,349.307683,349.307683,0.0152707,351.7825624,[0.2638888888888889],[-0.028703703703703703],[1],[0],[0],,2.4818148,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
145,0,145,0,351.8273446,,351.7853168,10,351.8273446,351.8273446,0.0289649,353.6660626,[0.22407407407407406],[0.125],[1],[0],[0],,1.8519838,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
146,0,146,0,353.6909632,,353.6688517,5,353.6909632,353.6909632,0.0150343,355.8331051,[-0.12777777777777777],[0.20925925925925926],[1],[0],[0],,2.1493184,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
147,0,147,0,355.8830016,,355.8367367,10,355.8830016,355.8830016,0.0360119,357.4153077,[-0.4185185185185185],[0.19166666666666668],[1],[0],[0],,1.5434864,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
148,0,148,0,357.4644313,,357.4181582,10,357.4644313,357.4644313,0.0346368,360.082368,[0.07962962962962963],[-0.4101851851851852],[1],[0],[0],,2.6297944,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
149,0,149,0,360.1365266,,360.085228,10,360.1365266,360.1365266,0.0391442,362.1495165,[0.23703703703703705],[-0.3037037037037037],[1],[0],[0],,2.0251869,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
150,0,150,0,362.1759916,,362.1528449,5,362.1759916,362.1759916,0.016627,364.600086,[0.4074074074074074],[0.42314814814814816],[1],[0],[0],,2.4306948,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
151,0,151,0,364.6537138,,364.605524,10,364.6537138,364.6537138,0.0348384,368.4828954,[0.43425925925925923],[-0.037037037037037035],[1],[0],[0],,3.8431712,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
152,0,152,0,368.53613,,368.4859842,10,368.53613,368.53613,0.0371422,371.9489707,[-0.06759259259259259],[0.3962962962962963],[1],[0],[0],,3.4260837,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
153,0,153,0,371.9956473,,371.9517731,10,371.9956473,371.9956473,0.0319278,374.0664056,[0.12037037037037036],[0.2935185185185185],[1],[0],[0],,2.0828663,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
154,0,154,0,374.1126541,,374.0693214,10,374.1126541,374.1126541,0.0327421,376.3159928,[-0.3712962962962963],[0.10925925925925926],[1],[0],[0],,2.2141085,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
155,0,155,0,376.3640335,,376.3188974,10,376.3640335,376.3640335,0.0342518,379.3331222,[0.44166666666666665],[-0.18611111111111112],[1],[0],[0],,2.9802405,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
156,0,156,0,379.3636188,,379.3363141,5,379.3636188,379.3636188,0.018424,382.2494896,[0.2212962962962963],[0.16296296296296298],[1],[0],[0],,2.8949707,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
157,0,157,0,382.2929839,,382.2523811,10,382.2929839,382.2929839,0.0300624,384.8669265,[0.23425925925925925],[0.29444444444444445],[1],[0],[0],,2.5845566,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
158,0,158,0,384.8932269,,384.8702976,5,384.8932269,384.8932269,0.0164883,386.9831321,[0.08518518518518518],[0.09722222222222222],[1],[0],[0],,2.096408,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
159,0,159,0,387.0092564,,386.9875918,5,387.0092564,387.0092564,0.0149909,388.566749,[0.36018518518518516],[-0.20833333333333334],[1],[0],[0],,1.564323,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
160,0,160,0,388.6146646,,388.5716597,10,388.6146646,388.6146646,0.0326466,393.1826372,[0.4212962962962963],[-0.46574074074074073],[1],[0],[0],,4.5787014,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
161,0,161,0,393.213059,,393.1873717,5,393.213059,393.213059,0.0188975,396.6497443,[-0.4564814814814815],[0.0962962962962963],[1],[0],[0],,3.4436894,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
162,0,162,0,396.6738943,,396.6525887,5,396.6738943,396.6738943,0.0151035,399.8663483,[0.05092592592592592],[-0.4083333333333333],[1],[0],[0],,3.1988994,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
163,0,163,0,399.8936241,,399.8693102,5,399.8936241,399.8936241,0.0159787,402.5663025,[0.016666666666666666],[0.4898148148148148],[1],[0],[0],,2.6812254,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
164,0,164,0,402.5964274,,402.5691344,5,402.5964274,402.5964274,0.0192431,404.333101,[0.125],[-0.24722222222222223],[1],[0],[0],,1.7448918,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
165,0,165,0,404.3590533,,404.3358756,5,404.3590533,404.3590533,0.0166517,406.4161968,[-0.46111111111111114],[0.29814814814814816],[1],[0],[0],,2.0636989,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
166,0,166,0,406.447936,,406.4201616,5,406.447936,406.447936,0.0216437,407.8664536,[0.17222222222222222],[0.0787037037037037],[1],[0],[0],,1.425391,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
167,0,167,0,407.9174775,,407.8692199,10,407.9174775,407.9174775,0.036737,409.6828286,[-0.12314814814814815],[-0.013888888888888888],[1],[0],[0],,1.7769975,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
168,0,168,0,409.7391863,,409.6856745,10,409.7391863,409.7391863,0.0366471,411.5498237,[0.14444444444444443],[0.22592592592592592],[1],[0],[0],,1.827722,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
169,0,169,0,411.5762956,,411.5529032,5,411.5762956,411.5762956,0.0163923,414.2331044,[0.23703703703703705],[0.3638888888888889],[1],[0],[0],,2.6640385,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
170,0,170,0,414.274766,,414.2359206,10,414.274766,414.274766,0.0281521,416.0993743,[0.21481481481481482],[0.2638888888888889],[1],[0],[0],,1.8355061,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
171,0,171,0,416.1245949,,416.1021766,5,416.1245949,416.1245949,0.0157708,418.2164484,[-0.30648148148148147],[-0.3509259259259259],[1],[0],[0],,2.0986635,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
172,0,172,0,418.2457169,,418.2197839,5,418.2457169,418.2457169,0.018923,420.3504999,[0.2611111111111111],[-0.1675925925925926],[1],[0],[0],,2.1118598,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
173,0,173,0,420.3996146,,420.353358,10,420.3996146,420.3996146,0.034502,421.8995447,[0.23148148148148148],[0.025],[1],[0],[0],,1.5118311,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
174,0,174,0,421.948181,,421.9030848,10,421.948181,421.948181,0.0328971,423.7000277,[-0.29444444444444445],[-0.09259259259259259],[1],[0],[0],,1.7641395,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
175,0,175,0,423.7255747,,423.7027807,5,423.7255747,423.7255747,0.0164466,425.4498858,[0.05925925925925926],[-0.12314814814814815],[1],[0],[0],,1.7308299,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
176,0,176,0,425.4980201,,425.4528801,10,425.4980201,425.4980201,0.0330701,427.3496536,[-0.17037037037037037],[0.025],[1],[0],[0],,1.8638982,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
177,0,177,0,427.3737841,,427.3524589,5,427.3737841,427.3737841,0.0148221,428.9168777,[-0.4101851851851852],[0.20277777777777778],[1],[0],[0],,1.5497352,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
178,0,178,0,428.9617193,,428.9197784,10,428.9617193,428.9617193,0.0302335,431.2168915,[0.032407407407407406],[-0.3907407407407407],[1],[0],[0],,2.2669821,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
179,0,179,0,431.2702041,,431.2214459,10,431.2702041,431.2702041,0.0354282,433.4496618,[-0.4675925925925926],[-0.3296296296296296],[1],[0],[0],,2.1936412,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
180,0,180,0,433.476755,,433.452439,5,433.476755,433.476755,0.0160313,436.0998854,[0.25],[-0.4583333333333333],[1],[0],[0],,2.631596,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
181,0,181,0,436.1255878,,436.1027261,5,436.1255878,436.1255878,0.0164631,438.7334079,[-0.4083333333333333],[-0.11944444444444445],[1],[0],[0],,2.614423,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
182,0,182,0,438.7602977,,438.7377586,5,438.7602977,438.7602977,0.0163651,440.8328715,[-0.24444444444444444],[-0.37222222222222223],[1],[0],[0],,2.0793871,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
183,0,183,0,440.8596964,,440.8357043,5,440.8596964,440.8596964,0.0173382,442.5166074,[-0.5018518518518519],[-0.4074074074074074],[1],[0],[0],,1.6636833,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
184,0,184,0,442.5426846,,442.5202473,5,442.5426846,442.5426846,0.015033,443.9997653,[-0.11203703703703703],[-0.38425925925925924],[1],[0],[0],,1.4648418,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
185,0,185,0,444.0245959,,444.0029762,5,444.0245959,444.0245959,0.015143,445.5674368,[0.32314814814814813],[-0.31203703703703706],[1],[0],[0],,1.5496711,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
186,0,186,0,445.5930909,,445.5708993,5,445.5930909,445.5930909,0.0151189,447.3500655,[0.4],[-0.44166666666666665],[1],[0],[0],,1.7641458,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
187,0,187,0,447.4050211,,447.3541136,10,447.4050211,447.4050211,0.0363959,449.0501152,[0.22685185185185186],[-0.37962962962962965],[1],[0],[0],,1.6597656,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
188,0,188,0,449.0780692,,449.0539956,5,449.0780692,449.0780692,0.0166028,452.9336048,[-0.4074074074074074],[0.45740740740740743],[1],[0],[0],,3.8630443,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
189,0,189,0,452.9869916,,452.9365523,10,452.9869916,452.9869916,0.0385148,454.2666397,[-0.24444444444444444],[0.39351851851851855],[1],[0],[0],,1.2917529,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
190,0,190,0,454.3148616,,454.270892,10,454.3148616,454.3148616,0.0329712,456.6010342,[0.31203703703703706],[-0.33611111111111114],[1],[0],[0],,2.2977337,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
191,0,191,0,456.6556873,,456.6045187,10,456.6556873,456.6556873,0.0385815,458.2834917,[-0.2037037037037037],[-0.021296296296296296],[1],[0],[0],,1.6405228,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
192,0,192,0,458.3093782,,458.2869652,5,458.3093782,458.3093782,0.01582,460.1839293,[-0.12222222222222222],[-0.44351851851851853],[1],[0],[0],,1.8811483,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
193,0,193,0,460.2119868,,460.1878812,5,460.2119868,460.2119868,0.0168124,462.1332075,[-0.4675925925925926],[0.19722222222222222],[1],[0],[0],,1.9288514,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
194,0,194,0,462.1605521,,462.1361616,5,462.1605521,462.1605521,0.0164466,464.0170926,[-0.2222222222222222],[-0.32222222222222224],[1],[0],[0],,1.8647194,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
195,0,195,0,464.0726117,,464.0202123,10,464.0726117,464.0726117,0.0358089,466.1999323,[-0.3138888888888889],[-0.462037037037037],[1],[0],[0],,2.1443289,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
196,0,196,0,466.2498593,,466.2048007,10,466.2498593,466.2498593,0.0337755,468.916909,[-0.08518518518518518],[0.14351851851851852],[1],[0],[0],,2.6785351,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
197,0,197,0,468.9730928,,468.9217309,10,468.9730928,468.9730928,0.0370731,473.9174786,[0.41944444444444445],[0.362962962962963],[1],[0],[0],,4.9592564,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
198,0,198,0,473.9461579,,473.9213208,5,473.9461579,473.9461579,0.0174275,475.8840799,[0.025],[-0.3333333333333333],[1],[0],[0],,1.9456355,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
199,0,199,0,475.9134195,,475.888553,5,475.9134195,475.9134195,0.0182374,478.6166171,[-0.29074074074074074],[-0.337037037037037],[1],[0],[0],,2.7099556,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
